Family;Ploidy;He;Pop;Treat;PetalLength;CorollaDiam;CorollaLength;LongFil;ShortFil;Herkogamy;Height;Nstalk;StalkDiam;Nflowers ;Fruitset;Seedset;Fitness
156;4n;0;Ei09;Mount;1,84;4,1;3,48;4,41;3,93;3,93;7,5;4;0,79;26;0,84615385;0,840909091;0,038187277
156;4n;0;Ei09;Mount;1,92;4,96;3,73;5,08;4,06;4,02;10;4;0,83;33;0,36363636;0,913043478;0,035466316
156;4n;0;Ei09;Mount;1,78;3,78;3,55;4,86;3,58;4,85;7;2;0,54;10;0,7;0,918032787;0,018389942
34;4n;0;Ei09;Mount;1,99;4,01;3,68;4,61;4,17;4,17;8,5;1;0,68;4;0,25;0;0
34;4n;0;Ei09;Mount;1,87;4,62;3,68;4,76;4,52;4,98;6;5;0,72;10;0,7;0,8;0,007881404
65;6n;0;Ei16;Mount;1,84;5,19;3,49;4,44;2,96;3,37;5;1;0,64;7;0,42857143;1;0,005629574
65;6n;0;Ei16;Mount;1,81;3,69;3,13;4,36;3,35;3,35;6,5;1;0,74;8;0,875;0,911111111;0,013464065
34;4n;0;Ei09;Mount;1,52;3,21;2,37;3,78;3,41;3,41;2,5;2;0,62;7;0,71428571;0,888888889;0,007506099
9;4n;0;Ei09;Mount;1,27;2,96;2,65;4,31;3,78;3,78;7;4;0,82;14;0,85714286;0,914893617;0,024207168
34;4n;0;Ei09;Mount;1,94;4,17;3,13;3,95;3,02;3,52;5;1;0,64;5;0,8;0,894736843;0,004253456
42;4n;0;Ei09;Mount;1,4;2,88;3,1;3,92;2,94;3,07;7;2;0,74;11;0,81818182;0,913043478;0,017733158
42;4n;0;Ei09;Mount;1,8;3,52;3,09;3,82;3,22;3,4;5,5;5;0,99;16;0,6875;0,76;0,019609683
93;2n;0,5;Ei12;Mount;1,46;3,36;3,58;3,59;3,32;4,3;3;6;2,9;NA;NA;NA;0
